City,Tags,State,Old_age,Young_age,link 1,Avg Expense Per Day,historical & heritage,city,pilgrimage,hill station,beach,lake & backwater,adventure / trekking,wildlife,waterfall,nature & scenic,keys,description
Munnar,Hill Station,Kerala,0,1,https://www.holidify.com/places/munnar/,3089,0,0,0,1,0,0,0,0,0,0,munnar,"  Munnar is a popular hill-station of Kerala perched at an altitude of 1600 metres in the Western Ghats. Famous for its tea estates, various shades of green, blankets of mist and craggy peaks, Munnar is aptly known as the 'Kashmir of South India'. Situated on the banks of three rivers- Madupetti, Nallathanni and Periavaru, Munnar is also blessed with natural view-points apart from the tea-plantations. Munnar is divided into Old Munnar, where the tourist information office is, and Munnar, where the bus station and most guest houses are located. The Eravikulam National Park, Salim Ali Bird Sanctuary and tea plantations are its major attractions."
Shirdi,Pilgrimage,Maharashtra,1,0,https://www.holidify.com/places/shirdi/,1509,0,0,1,0,0,0,0,0,0,0,shirdi,"  The home of great saint Sai Baba, Shirdi is a religious site close to Nasik with various temples apart from the famous Sai Baba temple and a few historical sites. Located in the Ahmednagar district of Maharashtra, Shirdi holds a strong importance as a holy and pilgrim place by Sai Baba devotees. The small town is filled with religious spots and activities which will soothe and calm your soul on its visit. The air here carries chants lingering with spirituality and the whole grandness about the same too will leave you spellbound. There are many religious places to be seen in Shirdi such as Chavadi, Samadhi Mandir, Dwarkamai masjid, Shani Shignapur, to name a few."
Manali,Hill Station,Himachal Pradesh,0,1,https://www.holidify.com/places/manali/,1496,0,0,0,1,0,0,0,0,0,0,manali,"  Nestled in between the snow-capped slopes of the Pir Panjal and the Dhauladhar ranges, Manali is one of the most popular hill stations in the country. With jaw-dropping views, lush green forests, sprawling meadows carpeted with flowers, gushing blue streams, a perpetual fairy-tale like mist lingering in the air, and a persistent fragrance of pines - Manali has been blessed with extraordinary scenic beauty. From museums to temples, from quaint little hippie villages to bustling upscale streets, river adventures to trekking trails, Manali has every reason to be the tourist magnet it is, all year round. Swaying eucalyptus trees, endearing little eateries, small kitschy local market places, and cafes which serve delicious local food at unbelievable prices, Old Manali is a serene, tranquil place, whose lingering silence is broken only by the twittering of the birds and the sound of the roaring waters of the Kullu River.Solang Valley is the of the most visited places in Manali, with the drive up to Solang being as picturesque as the valley itself. Not only does Solang Valley offer some breathtaking views of the surrounding landscape, but its slopes are also a very popular skiing destination, especially during the winters. In summers, the place turns into a paragliding haven. If you're an adventure enthusiast, Solang Valley has adrenaline-pumping activities such as zorbing and horse-riding available.With more than 25 lakh visitors every year, Rohtang Pass easily stands out as one of the most famous scenic spots to visit in Manali. Connecting the Lahaul and Kullu valleys, the Rohtang Pass is famous among nature lovers, photographers and adventure seekers alike. Mountain biking or skiing whilst surrounded by the awe-inspiring glaciers and snow-capped peaks on all sides is an exhilarating experience."
Alleppey,Beach |  Lake & Backwater,Kerala,0,1,https://www.holidify.com/places/alleppey/,2814,0,0,0,0,1,1,0,0,0,0,alleppey,"  Officially called Alappuzha, Alleppey is a city in the South Indian state of Kerala. Bordering the Laccadive Sea, it is known for its wide network of interlinking, palm-fringed canals called backwaters and rejuvenating Ayurvedic resorts. Allepey is also popular for its Houseboat cruises that pass through the serene backwaters, where you can catch glimpses of green paddy fields, choir making activities, beautiful avifauna and witness the life of locals in Kerala.  Towards the shore lies the Alleppey beach in the Arabian Sea, a beautiful example of the gems you’d find along the Malabar Coast. The appeal of this beach is only amplified by the history attached to it, and a walk down the 137-year old pier is a must. Be sure to catch a traditional snake boat race in the months of August and September and try out some toddy (palm wine) at a local toddy shop for adding a touch of authenticity to your travel experience in Allepey."
Somnath,Pilgrimage,Gujarat,1,0,https://www.holidify.com/places/somnath/,2871,0,0,1,0,0,0,0,0,0,0,somnath,"  Somnath, literally meaning 'lord of the moon' is a pilgrim center and is home to one of the 12 Jyotirlingas. It is a town which derives much of its identity from the mythology, religion, and legends that surround it. Primarily a temple town, Somnath is a place where a strong scent of religion and legends lingers around tourism and even daily life. Its spiritual environment is ornamented by the huge number of temples in the area, however, Somnath also offers beaches, museums and other attractions. While the Somnath temple and Somnath beach are the primary places to visit here, Gita Mandir, Balukha Tirtha, Kamnath Mahadev Temple, Somnath Museum are some of the other places that one can visit."
Ajanta Caves,Historical & Heritage,Maharashtra,1,0,https://www.holidify.com/places/ajanta-and-ellora-caves/,956,1,0,0,0,0,0,0,0,0,0,ajanta-and-ellora-caves,"  Ajanta and Ellora caves, considered to be one of the finest examples of ancient rock-cut caves, are located near Aurangabad in Maharashtra, India. Ajanta and Ellora caves complex is adorned with beautiful sculptures, paintings, and frescoes and include Buddhist monasteries, Hindu and Jain temples. The Ajanta caves are 29 in number and were built between the 2nd century BC and 6th century AD, whereas the Ellora Caves are more spread out and 34 in number and dates to the period between 6th and 11th Century AD. Ajanta and Ellora caves are designated as UNESCO World Heritage Sites and are quite popular among travelers worldwide. Ajanta Caves, located around 99km north of Aurangabad, are mostly Buddhist sites and were used as a retreat by Buddhist Monks. Ellora is just 15 km west of Aurangabad and has a better mix of Hindu, Jain, and Buddhist sites. These hand-carved caves were built and sponsored by the Indian rulers of those periods and almost buried by thick forests. One of the most famous places in the entire Ajanta and Ellora Caves is the Kailash Temple, which is also the single most massive monolithic structure globally. These rock-cut caves containing carvings are some of the best examples of ancient Indian architecture and sculpture."
Nainital,Hill Station,Uttarakhand,0,1,https://www.holidify.com/places/nainital/,3759,0,0,0,1,0,0,0,0,0,0,nainital,"  The gem of Uttarakhand - Nainital is a charming hill station that sits prettily at the green foothills of the Kumaon ranges in the Himalayas. Located at an elevation of around 1938 metres, Nainital is located and developed around the beautiful Naini Lake, after which the town is named. The most visited hill station in North India, Nainital is a perfect weekend getaway from the Indian capital of Delhi and the nearby places. Founded by the British due to its resemblance to the Cumbrian Lake District, Nainital brims with elegant colonial structures that amplify the beauty of this place. It experiences a pleasant climate throughout the year, making Nainital a tourist getaway, especially preferred by families and honeymooners. The Naini Lake, along with the other lakes in the area, has earned this town the title of ‘City of Lakes’. The most popular activity for tourists visiting Nainital is boating the in Naini Lake, while few others visit for trekking in the surrounding mountain regions.Whether you want to go boating on the beautiful Naini Lake, relish some local delicacies, shop at the Tibetan Market and Mall Road, or take a ropeway ride to soak in the beauty of the Himalayas from Snow View Point, Nainital is sure to leave an imprint on you that will last a lifetime."
Amritsar,Historical & Heritage |  Pilgrimage,Punjab,1,0,https://www.holidify.com/places/amritsar/,1954,1,0,1,0,0,0,0,0,0,0,amritsar,"  Home of the glorious Golden Temple, the iconic city of Amritsar, portrays the heroic character of the Punjab. A day in this peaceful city starts with the spiritual prayers from Gurudwaras. The original name of first the ancient lake, then of the temple complex, and later the surrounding city, meaning ""pool of ambrosial nectar."" Amritsar is the spiritual and cultural centre of the Sikh Religion. Baisakhi festival brings out Amritsar's resplendent face with its finest food, clothes and merry-making. This place is also famous for its Jallianwala Bagh massacre and its proximity to Wagah Border. The satiating food and generous dollops of legendary Punjabi hospitality further connive to cast a spell upon the visitor. From the Operation Blue Star in the Golden Temple to the tragedy of the Jallianwala Bagh massacre, Amritsar has seen the worst of situations and yet emerged like a phoenix through testing times. Amritsar today is a thriving city with active trade and tourism industries. One of the most agriculturally productive cities of India, Amritsar is well connected with most of the important cities of India."
Darjeeling,Hill Station,West Bengal,0,1,https://www.holidify.com/places/darjeeling/,2290,0,0,0,1,0,0,0,0,0,0,darjeeling,"  Jaw-dropping locales, mesmerising sunrises, the untouched beauty of the hills, the old-world charm of the past, and the welcoming smiles of the local people all add up to make Darjeeling one of the most beautiful hill stations in Eastern part of India. Spread over a steep mountain ridge, nestled amidst acres of lush green tea plantations, Darjeeling stands at the height of 2,050 meters above sea level, thus boasting of cool climes all year round. This scenic hill station is the perfect getaway for a romantic honeymoon and is just around 700 kilometres away from Kolkata. A respite from the hot and humid summers of India, Darjeeling is a popular tourist destination in North-East India. Providing a heady mixture of splendid tea gardens on rolling mountain slopes, meandering toy train rides through the picturesque city, and delectable traditional Tibetan cuisine, Darjeeling works wonders to cater to the gorgeous panorama of the Himalayas.There is a reason the city is known as the 'Queen of the Himalayas'. The lush green slopes dotted with women plucking tea leaves is a sight as mesmerising as no other. There are over 86 tea estates in Darjeeling that are responsible for producing the worldwide famous 'Darjeeling Tea'. Have a cup of locally brewed chai at the tea estate, or get down amidst the plantations to pluck a few tea leaves yourself, you are free to take your pick!A previous summer capital of India under the British Raj, Darjeeling has come off age as one of the most sought after hill stations in India. Famous for its beautiful tea plantations and the quality of Darjeeling tea, Darjeeling is a delight for all kind of tourists. The toy train established back in 1881, still runs in this part and is also one of the UNESCO World Heritage sites. Beautiful colonial architecture including mansions and churches dot this little beautiful town. Filled with people from Tibet, Nepal, nearby Indian states and the Gorkhas, Darjeeling is brimming with cultural diversity. The third highest peak in the world and the highest in India, the Kanchenjunga peak is clearly visible from here and you can enjoy a panoramic view of the peak. Some of Darjeeling's most popular attractions include monasteries, botanical gardens, a zoo, and the Darjeeling-Rangeet Valley Passenger Ropeway cable car which happens to be the longest Asian cable car. Darjeeling is a wonderful place to walk around and explore the tea estates, villages, and markets."
Rameshwaram,Pilgrimage,Tamil Nadu,1,0,https://www.holidify.com/places/rameswaram/,2099,0,0,1,0,0,0,0,0,0,0,rameswaram,"  Rameshwaram is one of the holiest places in India and is located on a beautiful island. It is separated by a small Pamban channel from Sri Lanka. According to the Hindu mythology, this is the place where Lord Rama created a bridge across the sea to Sri Lanka. Rameshwaram is located on a beautiful island in the lower side of India. Lord Shiva too is worshipped in this place. Renowned for its magnificent prakaras with massive sculptured pillars on either side, The Ramanathaswamy Temple houses the longest corridor in the world. Agniteertham is famous for its sacred waters and Pilgrims perform poojas in honour of their ancestors at this seashore. The Five-faced Hanuman Temple holds the floating stone which was used to build the bridge between India and Sri Lanka."
Pondicherry,Beach |  City,Pondicherry,0,1,https://www.holidify.com/places/pondicherry/,2770,0,1,0,0,1,0,0,0,0,0,pondicherry,"  Pondicherry, officially known as Puducherry, and commonly referred to as just Pondy, is one of the seven Union Territories of India which is bounded by the southern state of Tamil Nadu. This former French colony is a perfect amalgamation of the traditional Indian sensibilities and French architecture, making it a dreamy escape that offers the best of both worlds. The streets of the French Quarter of Pondicherry, also known as White Town, are dotted with charming mustard-yellow colonial structures with bougainvillaea laden walls. These are interspersed with cosy cafes and chic boutiques that offer delectable French cuisine and beverages. Simply strolling down these streets, can give the traveller an insight into the fairytale charm of Pondicherry.Topped with authentic French bakeries, bohemian stores and cobble-stoned paths that are delightful for a leisurely stroll or a bicycle ride, Pondicherry has a lot to offer. So head on down to this dream town of the Indian Coast and chug a few beers (at the Union Territory prices; bid adieu to state taxes) or just read a book in one of the quaint cafes.Come explore the boulevards and rues (the French word for streets) of Pondicherry that will ultimately take you down to the gorgeous seaside promenade, and witness the Bay of Bengal playfully splashing the shores of the famous Rock beach."
Mysore,Historical & Heritage |  City,Karnataka,1,0,https://www.holidify.com/places/mysore/,1645,1,1,0,0,0,0,0,0,0,0,mysore,"  Famously known as The City of Palaces, it wouldn’t be wrong to say that Mysore, currently Mysuru, is one of the most important places in the country regarding ancient reigns. It is replete with the history of its dazzling royal heritage, intricate architecture, its famed silk sarees, yoga, and sandalwood, to name just a few. Located in the foothills of the Chamundi Hills, Mysore is the third most populated city in Karnataka, and its rich heritage draws millions of tourists all year round. The highlight is the majestic Mysore Palace, a UNESCO World Heritage Site, which is a must-visit. Mysore was one of the three largest Princely States in the erstwhile British Empire of India. To this day, the Mysore Palace stands tall as one of the most spectacular palaces in India. A very famous tourist spot that sees thousands of visitors milling in and around it every day, the Mysore Palace is a mesmerizing example of Indo-Saracenic architecture, every inch of the palace drips with opulence and intricate details, and every room that you visit stands out in terms of its elaborate architecture, beautiful paintings, rich colours and stained-glass windows. On every Sunday, and during the Dussehra celebrations, the palace is spectacularly lit up once dusk falls.Another popular element in Mysore is the Ashtanga School of Yoga. This draws visitors and practitioners from around the world to participate in this style of yoga that originated in Mysore. "
Rishikesh,Pilgrimage |  Adventure / Trekking,Uttarakhand,1,1,https://www.holidify.com/places/rishikesh/,2410,0,0,1,0,0,0,1,0,0,0,rishikesh,"  Located in the foothills of the Himalayas along the convergence of Ganga and Chandrabhaga River, Rishikesh is a small town in the Dehradun district, located close to Haridwar in Uttarakhand. Rishikesh (also called as Hrishikesh) is known for its adventure activities, ancient temples, popular cafes and as the ""Yoga Capital of the World"". Gateway to Garhwal Himalayas, Rishikesh is also a pilgrimage town and one of the holiest places for Hindus. Rishikesh became known worldwide in the 1960s after The Beatles visited the ashram of Maharishi Mahesh Yogi here. Today, the place is popular as The Beatles Ashram which beckons tourists globally. The tranquil town has long been a spiritual centre but is equally popular for the whitewater rafting, bungee jumping, mountain biking and camping along the fast-flowing Holy Ganges. It also serves as the gateway to many Himalayan treks.As it lies on the holy banks of river Ganga, Rishikesh has been a hub of Sadhus (saints) with numerous ashrams teaching spirituality, yoga, meditation and Ayurveda springing up. Since it is a religious town, non-vegetarian food and alcohol are strictly prohibited here. Rishikesh sees the most beautiful evening aarti on the banks of the river Ganga, which is not too crowded unlike its contemporaries in Varanasi, and Haridwar. The International Yoga Festival is organised here in the first week of March which sees yoga enthusiasts from all over the globe.Rishikesh is divided into two main areas - the downtown area known as Rishikesh town which is where the popular Triveni Ghat is situated. 2 km upstream from the popular Ram Jhula and Lakshman Jhula is the other side of Rishikesh where most of the popular ashrams, cafes, accommodation and tourists can be found. Haridwar and Rishikesh are the first Indian cities to be given the title of ""twin national heritage cities""."
Puri,Beach |  Pilgrimage,Odisha,1,1,https://www.holidify.com/places/puri/,2109,0,0,1,0,1,0,0,0,0,0,puri,"  Puri in Odisha is one of the four must-visit pilgrimage sites for Hindus because of Jagannath Temple that forms the part of Char Dham in India. Puri is a beach city located on the coast of Bay of Bengal which is one of the favourites among people of West Bengal for a short trip. Having gained popularity among hippies back in the 1970s due to the legalisation of Bhang, Puri is still a popular destination among backpackers, however, the availability of bhang is now limited. With a plethora of hotels and homestays, the local tourist like to stay near the New Marine Drive and the backpackers prefer to stay near Chakra Tirtha. The Rath Yatra (chariot festival) which takes place during the month of June-July should not be missed if you are planning to visit during this time.Known as the resting place of Lord Shiva, the majestic history and heritage of Puri date back to the 3rd century B. C. Puri, Konark and Bhubaneshwar complete the Golden Triangle of Orissa, with their religious significance and cultural heritage being the centres of tourism in this state. There are a lot of places near Puri that one must visit, like the Chilika lake, Puri beach, Gundicha Ghar and the very famous Sun temple of Konark. Puri is soon turning into an industrial hub with major manufacturing companies coming here. "
Mumbai,Historical & Heritage |  City,Maharashtra,1,1,https://www.holidify.com/places/mumbai/,3671,1,1,0,0,0,0,0,0,0,0,mumbai,"  Mumbai, the capital city of the Indian state of Maharashtra, is a spectacular paradox of chaos and hope, glamour and squalor, modernity and tradition. Famously known as the City of Dreams, Mumbai – formerly known as Bombay - Mumbai is a beautifully blended melting pot of cultures and lifestyles. The city soaks in everything into its fabric, making it its very own. From upcoming actors struggling to make it big on the silver screen; from Bolly superstars to big industrialists to tribes of fisherman and slum dwellers, Mumbai is a city that proudly boasts of stories from different walks of human survival.One of the main centres in the country of art, culture, music, dance and theatre, Mumbai is a dynamic, cosmopolitan city that has been running for years solely on the indomitable spirit of the Mumbaikars."
