City,description,processed_text
Mussoorie,"  Mussoorie is one of the most popular hill stations located at a distance of 290 km from Delhi in Dehradun district of Uttarakhand. With a backdrop of Shivalik range of Himalayas and doon valley, Mussoorie, also known as Queen of The Hills, stands at an altitude of 7000 feet above sea level and has a cool, pleasant climate throughout the year. Once the British summer capital, Mussoorie is a popular getaway for honeymooners and families. The fact that it was a popular holiday destination during the British era can be seen from British remnants in the city, such as the archaic architecture of the hotels and churches. One of the most popular tourist attractions in Mussoorie is The Mall (also known as the Mall Road), which is a slightly steep boulevard with eateries and other shops lining its entire stretch. From the little houses spread around the area to the architecture of even the lamp posts, The Mall gives off a distinct colonial vibe.Another major highlight of Mussoorie is the Ropeway to Gun Hill. Gun Hill is the second highest peak in Mussoorie, and tourists can avail of the cable car ropeway ride to Gun Hill, which offers an enchanting view of the entire city as well as the surrounding Himalayan mountains.The adjoining little hill station of Landour, along with Mussoorie, Barlowganj and Jharipani together form the greater Mussoorie. Affording a mind-stirring view of the snow-dusted Himalayas, Mussoorie beckons trekkers, climbers and adventure sports enthusiasts.",mussoorie one popular hill station locate distance 290 km delhi dehradun district uttarakhand backdrop shivalik range himalayas doon valley mussoorie also know queen hill stand altitude 7000 feet sea level cool pleasant climate throughout year british summer capital mussoorie popular getaway honeymooners families fact popular holiday destination british era see british remnants city archaic architecture hotels church one popular tourist attractions mussoorie mall also know mall road slightly steep boulevard eateries shop line entire stretch little house spread around area architecture even lamp post mall give distinct colonial vibe another major highlight mussoorie ropeway gun hill gun hill second highest peak mussoorie tourists avail cable car ropeway ride gun hill offer enchant view entire city well surround himalayan mountains adjoin little hill station landour along mussoorie barlowganj jharipani together form greater mussoorie afford mind stir view snow dust himalayas mussoorie beckon trekkers climbers adventure sport enthusiasts
Hyderabad,"  A city of contrasts, Hyderabad exudes an old-world charm of its own with the Old City (Charminar side), Hitech City (Cyberabad) and the other areas lying between the old and the new. The capital and the largest city of Telanaga, Hyderabad is home to stately mosques and noisy bazaars lined parallelly alongside swanky new office buildings and malls, and it is these very contrasts – these glimpses into the city’s rich past with inherent promises of an even better future –that make Hyderabad a city worth visiting. Maybe even more than once. The city of pearls and biryani, Hyderabad is home to one of the most iconic landmarks - the Charminar. Translating to 'four minarets', the grand edifice is built entirely out of limestone and granite, with four minarets on four sides, each of them facing a different street. The Charminar stands in a labyrinth of lanes crammed with shops, markets, stalls and shoppers - one of the best places to shop for the authentic pearls and relish the tasty biryanis, skewer kebabs and haleem (the smorgasbord of food that Hyderabad is known for).  The other side of Hyderabad - HiTech City or Cyberabad - is a stark contrast to the Old City. The area teems with grand malls, pulsating clubs, sleek restaurants and hi-rise buildings of the every-growing multinationals. Between the old and new lie the popular city areas of Banjara Hills and Jubilee Hills flanked on the northeast by Secunderabad. Hyderabad and Secunderabad together are still referred to as the ""twin cities"", though they are practically one now. Hyderabad pulsates with a spectacular mix of people and traditions. Make a journey through this mind-stirring metropolis and be ready to be amazed, frustrated, confounded and thrilled, all at once!",city contrast hyderabad exude old world charm old city charminar side hitech city cyberabad areas lie old new capital largest city telanaga hyderabad home stately mosques noisy bazaars line parallelly alongside swanky new office build malls contrast glimpse city rich past inherent promise even better future make hyderabad city worth visit maybe even city pearl biryani hyderabad home one iconic landmarks charminar translate four minarets grand edifice build entirely limestone granite four minarets four side face different street charminar stand labyrinth lanes cram shop market stall shoppers one best place shop authentic pearl relish tasty biryanis skewer kebabs haleem smorgasbord food hyderabad know side hyderabad hitech city cyberabad stark contrast old city area teem grand malls pulsate club sleek restaurants hi rise build every grow multinationals old new lie popular city areas banjara hill jubilee hill flank northeast secunderabad hyderabad secunderabad together still refer twin cities though practically one hyderabad pulsate spectacular mix people traditions make journey mind stir metropolis ready amaze frustrate confound thrill
Mahabaleshwar,"  Mahabaleshwar is a hill station located in the Western Ghats, in Satara district of Maharashtra. Apart from its strawberries, Mahabaleshwar is also well known for its numerous rivers, magnificent cascades and majestic peaks. It is among the most sought after weekend getaways from Pune & Mumbai, located about 120km south-west of Pune and 285km from Mumbai. Mahabaleshwar is also a sacred pilgrimage place for Hindus as the Krishna river originates from here. Once a summer capital of the British, the hill station of Mahabaleshwar comprises of ancient temples, boarding schools, manicured and lush green dense forest, waterfalls, hills, valleys. It is often used as a base to visit the magnificent Pratapgad Fort, located an hour away.Malcolm Peth, Old Kshetra Mahabaleshwar and a region of the Shindola village are the three villages that make up Mahabaleshwar.",mahabaleshwar hill station locate western ghats satara district maharashtra apart strawberries mahabaleshwar also well know numerous rivers magnificent cascade majestic peak among seek weekend getaways pune mumbai locate 120km south west pune 285km mumbai mahabaleshwar also sacred pilgrimage place hindus krishna river originate summer capital british hill station mahabaleshwar comprise ancient temples board school manicure lush green dense forest waterfalls hill valleys often use base visit magnificent pratapgad fort locate hour away malcolm peth old kshetra mahabaleshwar region shindola village three villages make mahabaleshwar
Kovalam,"  Kovalam is an idyllic coastal town located around 13 km from Thiruvananthapuram in Kerala. Famous for its three adjacent crescent-shaped shallow water and low tidal beaches, Kovalam is dotted with resorts and ayurvedic massage centres. Earlier a fishing village, Kovalam started attracting tourists in the 1930s and shot to fame in the hippie epoch of 1970s. It still sees the influx of tourists from Israel and Europe. Ayurvedic treatments and massages are one of its most popular indulgences along with yoga, meditation as well as other cultural activities. Kovalam perhaps comes full circle as it is also a shopping destination given the rich spices, wooden statues and handicrafts that can make popular takeaways.",kovalam idyllic coastal town locate around 13 km thiruvananthapuram kerala famous three adjacent crescent shape shallow water low tidal beach kovalam dot resort ayurvedic massage centre earlier fish village kovalam start attract tourists 1930s shoot fame hippie epoch 1970s still see influx tourists israel europe ayurvedic treatments massage one popular indulgences along yoga meditation well cultural activities kovalam perhaps come full circle also shop destination give rich spice wooden statues handicrafts make popular takeaways
Jodhpur,"  Also known as the ""The Blue City"", ""Sun City"" and ""Gateway to Thar"", Jodhpur is famous for its Mehrangarh fort, blue houses, temples, sweets and snacks. Apart from the fort, there are multiple temples, lakes, shopping streets that are like a mirage from a bygone era.  The former capital of Marwar, Jodhpur is one of the most enchanting cities of Rajasthan, with its mighty Mehrangarh fort overlooking the city. The city is called the Blue City as it looks completely blue in colour from an aerial view because of its blue walls and blue houses. Nearby Jaswant Tada and Umaid Bhawan Palace are also among the top attractions in Jodhpur. However, the magic lies in the old city itself with hundreds of shops, guesthouses, eating joints and vendors make it a chirpy bustling city, especially near the landmark clock tower and Sardar Market.Seen in the backdrop of the movie, The Dark Knight Rises, Jodhpur attracts hundreds of thousands of visitors from all over the world. Jodhpur is conveniently located in the centre of Rajasthan making it easier for people visiting Jodhpur to explore other destinations of the state.",also know blue city sun city gateway thar jodhpur famous mehrangarh fort blue house temples sweets snack apart fort multiple temples lakes shop streets like mirage bygone era former capital marwar jodhpur one enchant cities rajasthan mighty mehrangarh fort overlook city city call blue city look completely blue colour aerial view blue wall blue house nearby jaswant tada umaid bhawan palace also among top attractions jodhpur however magic lie old city hundreds shop guesthouses eat joint vendors make chirpy bustle city especially near landmark clock tower sardar market see backdrop movie dark knight rise jodhpur attract hundreds thousands visitors world jodhpur conveniently locate centre rajasthan make easier people visit jodhpur explore destinations state
Ahmedabad,"  A rapidly growing metropolis, an industrial hub, an educational hotspot, and a city with a magnificent past – Ahmedabad is one of the most important cities in Gujarat. Located on the banks of the Sabarmati River, Ahmedabad is the former capital of Gujarat, and its delicious food, colourful culture is making it a fast-growing tourist destination. The historic city of Ahmedabad or the old part of the city was declared as the UNESCO World Heritage Site. Home to a plethora of remarkable temples like Swaminarayan Temple, intriguing museums and classy markets, with a little bit of colonial history attached to it, Ahmedabad is an excellent example of how a city can still retain every bit of its old-world charm while still rapidly progressing on the path of globalisation.Ahmedabad is famous for its textiles and its tie-dye bandhani handloom technique, which makes it a great place to shop. From bandhani sarees, dupattas to traditionally embroidered dress materials, and other local handicrafts.Sabarmati Ashram, situated directly beside the Sabarmati river, is a quaint and peaceful ashram built by Mahatma Gandhi after he returned from South Africa. To this date, Gandhiji’s living quarters are preserved here and is now used as a museum where visitors can learn all about his life and his teachings. The infamous Dandi Salt March, which was a crucial point in India’s independence struggle, originated from this ashram.",rapidly grow metropolis industrial hub educational hotspot city magnificent past ahmedabad one important cities gujarat locate bank sabarmati river ahmedabad former capital gujarat delicious food colourful culture make fast grow tourist destination historic city ahmedabad old part city declare unesco world heritage site home plethora remarkable temples like swaminarayan temple intrigue museums classy market little bite colonial history attach ahmedabad excellent example city still retain every bite old world charm still rapidly progress path globalisation ahmedabad famous textiles tie dye bandhani handloom technique make great place shop bandhani sarees dupattas traditionally embroider dress materials local handicrafts sabarmati ashram situate directly beside sabarmati river quaint peaceful ashram build mahatma gandhi return south africa date gandhiji live quarter preserve use museum visitors learn life teach infamous dandi salt march crucial point india independence struggle originate ashram
Kodaikanal,"  Located in the state of Tamil Nadu, Kodaikanal is one of the most famous honeymoon destinations in India. A Lakeside resort town of Tamil Nadu, Kodaikanal has a beautiful climate, mist-covered manicured cliffs and waterfall that come together to create the ideal setting for a perfect getaway. Kodaikanal means 'the gift of the forests'. Nestled amidst the rolling slopes of the Palani Hills, Kodaikanal stands at an altitude of 7200 feet above sea level, and once you visit this hill station, you will find that every bit of what you have imagined it to be is real. Kodaikanal is a place you can go to take a break from the rigours of daily city life, and this hill station lets you sit back and connect with nature as you head out on biking or trekking trails or take a stroll through the vast forests surrounding the town.",locate state tamil nadu kodaikanal one famous honeymoon destinations india lakeside resort town tamil nadu kodaikanal beautiful climate mist cover manicure cliffs waterfall come together create ideal set perfect getaway kodaikanal mean gift forest nestle amidst roll slop palani hill kodaikanal stand altitude 7200 feet sea level visit hill station find every bite imagine real kodaikanal place go take break rigours daily city life hill station let sit back connect nature head bike trek trail take stroll vast forest surround town
Thekkady,"  Home to the country's largest Tiger Reserve- Periyar, Thekkady is a great way to enjoy a jungle vacation. Periyar National Park, being a major attraction, is one place where you can enjoy bamboo rafting in the catchment area of Mullaiperiyar Dam, hiking, and in the midst of the wilderness, shopping! Popular for its good eating joints, you can also enjoy its vast stretches of spice gardens and various adventure sports. You can also enjoy a night trek in the wilderness of Periyar. The early morning ride in the boat within the sanctuary is an extremely awesome experience and you might be able to spot wild elephants, bisons, wild boars, various kinds of birds, etc. Anakarra is also located nearby which is a great place to enjoy nature. Murikaddy is located around 5 km from the city and is famous for coffee and spices plantations. Chellar Kovil is another area located nearby with a lot of picturesque waterfalls and cascades. Mangala Devi Temple, located at an altitude of 1337 m and at a distance of around 15km from Thekkady opens only on the Chitra Pournami Festival.",home country largest tiger reserve periyar thekkady great way enjoy jungle vacation periyar national park major attraction one place enjoy bamboo raft catchment area mullaiperiyar dam hike midst wilderness shop popular good eat joint also enjoy vast stretch spice garden various adventure sport also enjoy night trek wilderness periyar early morning ride boat within sanctuary extremely awesome experience might able spot wild elephants bisons wild boars various kinds bird etc anakarra also locate nearby great place enjoy nature murikaddy locate around 5 km city famous coffee spice plantations chellar kovil another area locate nearby lot picturesque waterfalls cascade mangala devi temple locate altitude 1337 distance around 15km thekkady open chitra pournami festival
Khajuraho,"  Khajuraho, a UNESCO World Heritage Site located in Madhya Pradesh, is known around the world for its stunning temples adorned by erotic and sensuous carvings. A small town located in the Bundelkhand region, Khajuraho is a brilliant example of Indian architecture and its culture back in the medieval period. The architecture of these Hindu and Jain temples depict the erotic forms of love, the carvings on the walls display passion in the most sensuous yet aesthetic ways. Built between 950 to 1050 AD the sheer confrontational nature of these carvings shows a stark paradox with the conventional Indian ideals about eroticism, leaving everybody spellbound. Art in this small town is engrained in all of its structures and are a classic example of the finesse of India's cultural and artistic heritage. The best part about Khajuraho is that although scores of plunderers tried to destroy the whole complex, they could never succeed, even though they managed to reduce the number of temples and caves to 25 from a staggering 85 at the time it was created.",khajuraho unesco world heritage site locate madhya pradesh know around world stun temples adorn erotic sensuous carve small town locate bundelkhand region khajuraho brilliant example indian architecture culture back medieval period architecture hindu jain temples depict erotic form love carve wall display passion sensuous yet aesthetic ways build 950 1050 ad sheer confrontational nature carve show stark paradox conventional indian ideals eroticism leave everybody spellbind art small town engrained structure classic example finesse india cultural artistic heritage best part khajuraho although score plunderers try destroy whole complex could never succeed even though manage reduce number temples cave 25 stagger 85 time create
Kaziranga National Park,"  Home to the largest population of the one-horned rhino on earth, Kaziranga National Park is one of India’s national treasures in terms of flora and fauna. Located in the state of Assam in North-Eastern India, its total area is shared by the districts of Nagaon, Golaghat and Karbi Anglong placing it roughly at the centre of the state. Approximately around five hours by road from Guwahati, Kaziranga National Park stands tall as the epitome of successful wildlife conservation in India. In 1985, it was awarded the status of a World Heritage Site by UNESCO. Lying on the floodplains of the mighty river Brahmaputra, rich vegetation covers almost the entirety of Kaziranga National Park. Receiving massive amounts of rainfall each year, at times even crossing dangerous levels, this national park is characterised by tall elephant grass, marshlands and tall tropical broadleaf forests. Here, a wide variety of fauna thrives including the one-horned rhino, Asiatic elephants, wild water buffalo, leopards and Royal Bengal Tigers. Kaziranga National Park is also listed officially as a Tiger reserve and is home to one of the world’s largest population of tigers. Different types of birds can also be spotted here at the park. A popular migratory location for birds who fly down from the north, one can spot various birds such as the black-nested stork, the lesser white-fronted goose, ferruginous duck and Baer's pochard duck to name a few. Other notable bird families which can be seen here include the great Indian hornbill and wreathed hornbill among many others.Safaris can be undertaken both during the day and night during the open tourist season. Elephant rides are also very popular among tourists and wildlife journalists and enthusiasts. Hiking is one such activity which is prohibited here to avoid casualties. Great care is taken at this national park such that tourism and natural sustainability go hand in hand.",home largest population one horn rhino earth kaziranga national park one india national treasure term flora fauna locate state assam north eastern india total area share district nagaon golaghat karbi anglong place roughly centre state approximately around five hours road guwahati kaziranga national park stand tall epitome successful wildlife conservation india 1985 award status world heritage site unesco lie floodplains mighty river brahmaputra rich vegetation cover almost entirety kaziranga national park receive massive amount rainfall year time even cross dangerous level national park characterise tall elephant grass marshlands tall tropical broadleaf forest wide variety fauna thrive include one horn rhino asiatic elephants wild water buffalo leopards royal bengal tigers kaziranga national park also list officially tiger reserve home one world largest population tigers different type bird also spot park popular migratory location bird fly north one spot various bird black nest stork lesser white front goose ferruginous duck baer pochard duck name notable bird families see include great indian hornbill wreathe hornbill among many others safaris undertake day night open tourist season elephant rid also popular among tourists wildlife journalists enthusiasts hike one activity prohibit avoid casualties great care take national park tourism natural sustainability go hand hand
Chikmagalur,"  Popularly known as the ‘Coffee Land of Karnataka’, Chikmagalur is situated in the foothills of the Mullayangiri Range and is one of the most beautiful hill stations in Karnataka. Chikmagalur has a perpetual fragrance of coffee lingering in the air with it plenty of coffee plantations. Famous for its tall mountains, lush green forests and its tranquil environment (apart from its coffee production), Chikmagalur is a very popular tourist destination and is a quick retreat for the people of Karnataka. Being the largest producer of coffee in the country, Chikmagalur is mainly all about its coffee.  So if you’re a coffee enthusiast as well as a nature lover, taking a walk through one (or a few) of the numerous coffee plantations in the city is a must-do activity. Many of these coffee estates not only allow visitors to take guided tours through the plantations, but they also provide home-stays right within the estates, so you can literally wake up to and end your day with the smell of coffee in the air.Chikmagalur is a very popular trekking spot and boasts of many incredible trekking trails, such as the Mullayangiri trek, the Kemmanagundi trek, and the Baba Budangiri trek. Mullayangiri is the highest peak in all of Karnataka and is the best place to get a perfect view of the sun rising from behind the mountains.",popularly know coffee land karnataka chikmagalur situate foothills mullayangiri range one beautiful hill station karnataka chikmagalur perpetual fragrance coffee linger air plenty coffee plantations famous tall mountains lush green forest tranquil environment apart coffee production chikmagalur popular tourist destination quick retreat people karnataka largest producer coffee country chikmagalur mainly coffee coffee enthusiast well nature lover take walk one numerous coffee plantations city must activity many coffee estates allow visitors take guide tour plantations also provide home stay right within estates literally wake end day smell coffee air chikmagalur popular trek spot boast many incredible trek trail mullayangiri trek kemmanagundi trek baba budangiri trek mullayangiri highest peak karnataka best place get perfect view sun rise behind mountains
Sabarimala,"  More than 30 million pilgrims visit the temple in Sabarimala annually, making it the largest in India and second largest in the world, after Hajj Pilgrimage of Mecca in Saudi Arabia. Located inside the Periyar Tiger Reserve, in the Pathanamthitta district of Kerala, Sabarimala is a temple town on the bank of the River Pampa. Named after the mythological character, Sabarimala shelters the famous Ayyapa temple. The temple is also known as Dharma Sashta and is believed to be the son of Shiva and Mohini, the feminine incarnation of Lord Vishnu. People believe that Vishnu's incarnate, Parasurama, placed the Ayyappa Idol at the top of the mountain. One can notice that the traditions of Sabarimala are a blend of Shaivism, Shaktism, Vaishnavism and other Sramana traditions. Women of age 12-50 years, during an active menstrual cycle, weren't allowed inside the temple until the supreme court overturned the restriction on 28th September 2018. The temple is situated amidst eighteen hills and dense forest surrounding the temple, which is known as Poongavanam. People trek up the mountains from Plapalli, proceeding to Aangaamuzhi, and then to Muzhiyaar and finally to Sabarigiri road. The temple is open on the first five days of each Malayalam month with it being most crowded during Mandalapooja, Makaravilakku or Makar Sankranti.",30 million pilgrims visit temple sabarimala annually make largest india second largest world hajj pilgrimage mecca saudi arabia locate inside periyar tiger reserve pathanamthitta district kerala sabarimala temple town bank river pampa name mythological character sabarimala shelter famous ayyapa temple temple also know dharma sashta believe son shiva mohini feminine incarnation lord vishnu people believe vishnu incarnate parasurama place ayyappa idol top mountain one notice traditions sabarimala blend shaivism shaktism vaishnavism sramana traditions women age 12 50 years active menstrual cycle allow inside temple supreme court overturn restriction 28th september 2018 temple situate amidst eighteen hill dense forest surround temple know poongavanam people trek mountains plapalli proceed aangaamuzhi muzhiyaar finally sabarigiri road temple open first five days malayalam month crowd mandalapooja makaravilakku makar sankranti
Konark,"  Konark, in the state of Orissa is renowned world over for the Sun Temple which is also a UNESCO World Heritage Site, the Annual dance festival and its beautiful sandy beaches. Konark's Sun Temple is an architectural marvel and is one of the most beautiful monuments of India. The Annual Dance Festival is a five day-long cultural extravaganza which invites unique dancing talent from all over the country. This festival is a grand celebration of our country's rich cultural and artistic legacy, an event to truly rejoice the various dance forms that our country has invented. The celebrations happen with the backdrop of the Sun temple, adding grandeur and magnificence to the whole program. Besides this, Konark also hosts the Sun Festival, where devotees offer prayers to the Sun God by taking dips in the sea. The Dance Festival also hosts a Handicrafts Mela where one can buy unique and exquisitely handcrafted pieces which beautifully reflect the Oriya art form.",konark state orissa renowned world sun temple also unesco world heritage site annual dance festival beautiful sandy beach konark sun temple architectural marvel one beautiful monuments india annual dance festival five day long cultural extravaganza invite unique dance talent country festival grand celebration country rich cultural artistic legacy event truly rejoice various dance form country invent celebrations happen backdrop sun temple add grandeur magnificence whole program besides konark also host sun festival devote offer prayers sun god take dip sea dance festival also host handicrafts mela one buy unique exquisitely handcraft piece beautifully reflect oriya art form
Gir National Park,"  Gir National Park and Wildlife Sanctuary is the only remaining home for the Asiatic Lions. Located in Talala Gir in Gujarat, the Sanctuary is a part of Kathiawar- Gir dry deciduous forests ecoregion. Gir National Park is closed from 16 June to 15 October every year and the best time for wildlife spotting is April and May. Gir provides you with the unique experience of visiting a place which almost singularly plays a crucial and defining role in the preservation and sustaining of a certain species. The preservation of these lions was initiated by the Nawab of Junagadh when these were just about to enter the phase of extinction due to hunting. The official count said that there were 411 lions in 2010. Also, there are roughly different 2375 species of fauna here with 38 species of mammals, over 300 species of birds, 37 species of reptiles and over 2000 species of insects. Other important wildlife forms found here are leopard, chausingha, spotted deer, hyena, sambar deer and chinkara.",gir national park wildlife sanctuary remain home asiatic lions locate talala gir gujarat sanctuary part kathiawar gir dry deciduous forest ecoregion gir national park close 16 june 15 october every year best time wildlife spot april may gir provide unique experience visit place almost singularly play crucial define role preservation sustain certain species preservation lions initiate nawab junagadh enter phase extinction due hunt official count say 411 lions 2010 also roughly different 2375 species fauna 38 species mammals 300 species bird 37 species reptiles 2000 species insects important wildlife form find leopard chausingha spot deer hyena sambar deer chinkara
Mahabalipuram,"  Famous for its intricately carved temples and rock-cut caves, Mamallapuram or Mahabalipuram as it is famously known, is a historically important and well-loved tourist location situated on the Coromandel Coast along the Bay of Bengal, in the state of Tamil Nadu. Once the abode of the famous demon king Mahabali, Mahabalipuram was later renamed Mamallapuram.  The serenity, the alluring atmosphere and the impressive setting with many beautiful white sandy beaches dotted with casuarina trees are all reasons as to why one would want to visit this wonderful town. Some famous tourist spots include the UNESCO world heritage site Group of Monuments like the Shore Temple and the Five Rathas, the Crocodile Bank which is home to some exquisite species of crocodiles and alligators, and the beach resorts in Kovalam and Sadras.",famous intricately carve temples rock cut cave mamallapuram mahabalipuram famously know historically important well love tourist location situate coromandel coast along bay bengal state tamil nadu abide famous demon king mahabali mahabalipuram later rename mamallapuram serenity allure atmosphere impressive set many beautiful white sandy beach dot casuarina tree reason one would want visit wonderful town famous tourist spot include unesco world heritage site group monuments like shore temple five rathas crocodile bank home exquisite species crocodiles alligator beach resort kovalam sadras
Gangtok,"  Incredibly alluring, pleasantly boisterous and wreathed in clouds - Gangtok, the capital of Sikkim, is one of the most popular hill stations in India. Lying at the height of 1650 m above sea level, the town during its bright sunny days offers spectacular views of Mt. Kanchenjunga. Gangtok is a base for adventure enthusiasts comprising of trekkers and campers to the Himalayan mountain ranges. During the months of March to Mid-May, blooming of wild Rhododendrons transform the surrounding regions in vast fields of colourful carpets. Its name meaning hill-top, Gangtok can be safely said to be one of the most beautiful hill stations in the country. With everything in just the right amount from a blend of cultural identities to urbanisation, Gangtok is a breathing and dynamic bit of paradise of the northeast. Gangtok and its surrounding regions are abundant in natural beauty and have various natural attractions such as the Tsomgo Lake, Ban Jhakri falls, Tashi viewpoint and more. Other places to visit include many famous religious sites such as the Enchey Monastery, Ganesh Tok, Do Drul Chorten Rumtek Monastery, etc. Also, river Teesta is one of the best spots for white water rafting in North East India.",incredibly allure pleasantly boisterous wreathe cloud gangtok capital sikkim one popular hill station india lie height 1650 sea level town bright sunny days offer spectacular view mt kanchenjunga gangtok base adventure enthusiasts comprise trekkers campers himalayan mountain range months march mid may bloom wild rhododendrons transform surround regions vast field colourful carpet name mean hill top gangtok safely say one beautiful hill station country everything right amount blend cultural identities urbanisation gangtok breathe dynamic bite paradise northeast gangtok surround regions abundant natural beauty various natural attractions tsomgo lake ban jhakri fall tashi viewpoint place visit include many famous religious sit enchey monastery ganesh tok drul chorten rumtek monastery etc also river teesta one best spot white water raft north east india
Jaisalmer,"  Jaisalmer is a major tourist spot located in the northwestern state of Rajasthan in India. It is known as the 'golden city' due to its bounteous golden dunes and castles clad in golden honey sandstone. Jaisalmer is adorned with lakes, ornate Jain temples and havelis. Climb on to the camel saddle and make your way through this desert or camp under the night sky in this golden land for an unforgettable experience. The Jaisalmer Fort stands as a citadel and is surrounded by narrow alleys inhabited by people residing there for generations. With shops selling colourful handicrafts and havelis that will make you travel back in time, Jaisalmer is an amalgam of exotic Indian desert culture, heritage and adventure.",jaisalmer major tourist spot locate northwestern state rajasthan india know golden city due bounteous golden dun castle clothe golden honey sandstone jaisalmer adorn lakes ornate jain temples havelis climb camel saddle make way desert camp night sky golden land unforgettable experience jaisalmer fort stand citadel surround narrow alleys inhabit people reside generations shop sell colourful handicrafts havelis make travel back time jaisalmer amalgam exotic indian desert culture heritage adventure
Bandhavgarh National Park,"  Formerly a hunting ground for the Maharajas of Rewa, the Bandhavgarh National Park is world-renowned as a tiger reserve and it is known to have the highest density of Bengal tigers in the world. The frequent sightings of royal tigers make this national park a must-visit for all wildlife enthusiasts. In 2012, around 44-49 tigers were living in the park. There are more than 22 species of mammals and 250 species of avifauna. The park got its name from the Bandhavgarh fort situated at the height of 800 m high cliffs nearby. The fort is in ruins now, but an hour trek to the fort is worth it as it provides ample views of the surroundings. The jeep safaris are amongst the most popular activities taken by visitors.",formerly hunt grind maharajas rewa bandhavgarh national park world renowned tiger reserve know highest density bengal tigers world frequent sight royal tigers make national park must visit wildlife enthusiasts 2012 around 44 49 tigers live park 22 species mammals 250 species avifauna park get name bandhavgarh fort situate height 800 high cliffs nearby fort ruin hour trek fort worth provide ample view surround jeep safaris amongst popular activities take visitors
Athirapally Waterfalls,"  Officially known as the cultural capital of Kerala, Thrissur is famous for fostering classical Keralan performing arts, religious sites and the renowned  Thrissur Pooram festival, Onam festival and Vadakkumnathan Temple. Thrissur is the short form of Thiru-Shiva-Per-Ur which literally means “a city with three temples of Lord Shiva”. Thrissur later became anglicised to Trichur. Thrissur is from where Kerala gets a fair share of its festive glitter. Thrissur was the capital of the Kingdom of Kochi. The festivals celebrated here are the major attraction for tourists and a visit to Thrissur is incomplete without witnessing these. Other tourist spots in Thrissur include the Vadakkumnathan Kshetram Temple, Tomb of Shakthan Thampuran, Archaeology Museum, Athirapally Falls, Heritage Garden and many more.",officially know cultural capital kerala thrissur famous foster classical keralan perform arts religious sit renowned thrissur pooram festival onam festival vadakkumnathan temple thrissur short form thiru shiva per ur literally mean city three temples lord shiva thrissur later become anglicise trichur thrissur kerala get fair share festive glitter thrissur capital kingdom kochi festivals celebrate major attraction tourists visit thrissur incomplete without witness tourist spot thrissur include vadakkumnathan kshetram temple tomb shakthan thampuran archaeology museum athirapally fall heritage garden many
Wayanad,"  Replete with waterfalls, historical caves, comfortable resorts and homestays, Wayanad in Kerala is famous for its spice plantations and wildlife. Walking through the sprawling spice plantations, trekking to the pre-historic caves and experiencing a resort holiday are one of the many things you can do to get a taste of Wayanad. Wayanad is best known for the wildlife reserves - Wayanad wildlife reserve which is home to an exquisite variety of flora and fauna. Wayanad wildlife reserve is an integral part of the Nilgiri biosphere reserve peacefully located amidst the serene hills of Western Ghats. Wayanad homes a wide variety of wildlife like elephants, leopards, and bears. Wayanad is a perfect weekend idea from the cities of South India. If taking a road trip from Bangalore, you will drive through three national parks: Nagarhole, Bandipur and Mudumalai.",replete waterfalls historical cave comfortable resort homestays wayanad kerala famous spice plantations wildlife walk sprawl spice plantations trek pre historic cave experience resort holiday one many things get taste wayanad wayanad best know wildlife reserve wayanad wildlife reserve home exquisite variety flora fauna wayanad wildlife reserve integral part nilgiri biosphere reserve peacefully locate amidst serene hill western ghats wayanad home wide variety wildlife like elephants leopards bear wayanad perfect weekend idea cities south india take road trip bangalore drive three national park nagarhole bandipur mudumalai
Nagarhole National Park,"  Located in the Mysore district of Karnataka, Nagarhole National Park boasts of rich wildlife including both flora and fauna. Located near Bandipur National Park, it is packed with the bounty of raw nature in its best form. Bestowed with best of wildlife, forest cover and varied topography, this place offers gushing streams,  gentle slopes and shallow valleys. The place is a paradise for nature lovers and those seeking solitude. A variety of species such as Elephants, Jackals, Tigers, Panthers, Gaurs, Sambars, Spotted Deers, Mongoose, Civet cats, Hyenas, Sloth Bears and over 250 species of birds call this place their home. The park is bounded by Kabini River on the north while Bandipur National park forms its southern boundaries. A dam of the Kabini River along with its reservoir demarcates the two national parks and is a sight to behold. Other than that, the park also houses stunning vegetation and plantation along with verdant tropical and deciduous forest land. Nagarhole National Park is home to a number of reptiles such as King Cobra, Krait, Indian Rock Python, Russel's Viper, vine snake, Tortoise, Monitor Lizard and Toads. In addition to these, trees such as sandalwood, silver oak, rosewood and teak are found in abundance here.",locate mysore district karnataka nagarhole national park boast rich wildlife include flora fauna locate near bandipur national park pack bounty raw nature best form bestow best wildlife forest cover vary topography place offer gush stream gentle slop shallow valleys place paradise nature lovers seek solitude variety species elephants jackals tigers panthers gaurs sambars spot deers mongoose civet cat hyenas sloth bear 250 species bird call place home park bound kabini river north bandipur national park form southern boundaries dam kabini river along reservoir demarcate two national park sight behold park also house stun vegetation plantation along verdant tropical deciduous forest land nagarhole national park home number reptiles king cobra krait indian rock python russel viper vine snake tortoise monitor lizard toads addition tree sandalwood silver oak rosewood teak find abundance
